"ACCOUNT #","FULL NAME","Revenue","","","","",""
"","","APR","","MAY","","JUN",""
"","","","","","","",""
"942546","Big Joe","3085605","Incline","2622764.25","Decline","2922700.25","Incline"
"748448","Maria Calux","1212774.75","Incline","1140008.265","Decline","2963723.6025","Incline"
"2087427","Giorgio Armani","1017399.91","Incline","956355.9154","Incline","1311009.50475","Decline"
"2078869","Francois Chevalier","1002221.7","Incline","891977.313","Incline","860720.32386","Incline"
"186563","Mia Martina","876665","Decline","876665","Incline","874137.76674","Decline"
"3374310","Tia Carrera","852750.9","Decline","878333.427","Decline","841598.4","Incline"
"3576420","Feliciano Di Venturi","836054.42","Decline","953102.0388","Incline","895900.09554","Decline"
"180431","Global Bob","841162.76","Incline","731811.6012","Incline","1038881.222292","Incline"
"446076","Vincenzo Fertino","811131.4","Incline","697573.004","Decline","687902.905128","Incline"
"60609","Bob Bobitt","814087.15","Incline","919918.4795","Decline","746403.11428","Incline"
"353666","Ken Cascaval","792537.71","Incline","721209.3161","Decline","993511.95786","Incline"
"2503159","Billy Joe","766654.9","Decline","835653.841","Decline","735633.502422","Decline"
"87772","Giuseppe Von Firenze","744359.6","Decline","722028.812","Decline","852366.91782","Incline"
