"Company","Name","Skill","Skill","Area 1","Area 2"
"Hak Gas","demo name 1","Gas engineer","","Manchester",""
"","demo name 2","Intercom Specialist","","Manchester",""
"","demo name 3","Plasterer","","Burnley",""
"Pipe Wise","demo name 4","Plumber","","Manchester",""
"","demo name 5","electrician","","Burnley",""
"Plumb It Right","demo name 6","Gas engineer","plumber","Manchester",""
"Pristine Carpets","demo name 7","Carpet fitter","","Manchester",""
"","demo name 8","Roofer","","Burnley",""
"","demo name 9","Gas engineer","plumber","Burnley",""
"","demo name 10","General","","Burnley","Manchester"
"","demo name 11","General","","Burnley",""
"","demo name 12","Surveyor","","Burnley",""
"","demo name 13","Roofer","Builder","Burnley","Manchester"
"","demo name 14","Gas engineer","plumber","Burnley","Manchester"
"Cash & Carry","demo name 15","Carpet fitter","","Burnley",""
"","demo name 16","Joiner","","Manchester",""
"","demo name 17","Decorator","","Manchester",""
"","demo name 18","Gardener","","Manchester",""
"","demo name 19","Surveyor","","Manchester",""
"","demo name 20","Decorator","","Manchester",""
"","demo name 21","Builder","Roofer","Manchester","Burnley"
"","demo name 22","decorator","","Burnley",""
"","demo name 23","Roofer","","Manchester",""
"","demo name 24","Carpet cleaning","","Manchester",""
"","demo name 25","electrician","","Burnley",""
"","demo name 26","decorator","Rubbish removal","Burnley",""
"Elite Carpets","demo name 27","Window fitter","","Burnley",""
"","demo name 28","carpet cleaning","","Burnley",""
"Assured Advanced Access","demo name 29","Locksmith","","Manchester",""
"","demo name 30","damp specialist","","Burnley",""
"","demo name 31","Damp specialist","","Manchester",""
"Pini With A Van","demo name 32","Rubbish removal","","Manchester",""
"","demo name 33","Joiner","","",""
"","demo name 34","electrician","","Burnley","Manchester"
"","demo name 35","roofer","","Burnley",""
"","demo name 36","roofer","","Burnley",""
"","demo name 37","Damp specialist","","Manchester","Burnley"
"Stardrops","demo name 38","Cleaning","","Manchester",""
"","demo name 39","electrician","","Burnley","Manchester"
"","demo name 40","general","","Manchester",""
"Bens Locksmith","demo name 41","Locksmith","","Manchester",""
"Lawrence & Carl (Royton)","demo name 42","Roofer","","Manchester",""
